x,y
23.108977,37.924385
30.962691,44.034239
61.573377,55.654673
56.555269,14.891111
77.423294,78.648476
120.88395,46.116116
150.58377,83.045227
161.498694,112.080494
176.501649,142.121879
195.449596,149.519887
180.793803,172.552299
102.037098,166.425449
98.621961,155.566187
92.529197,158.257462
97.780879,125.282245
78.732806,112.348881
69.935767,153.345689
61.806957,142.030078
39.498737,177.983727
17.095742,194.755912
39.793221,155.999385
35.435871,102.363851
20.241326,104.116519
4.609478,66.023245
20.697286,46.224808
23.108977,37.924385
